Year,Month,Int Month,Decimal Month,Decimal Year,Monthly Peak MW,Pk Date,Pk Hour,Pk Temp,Pk DPt
2017,FEB,2,0.166666667,2017.166667,18130.00,9,19,18,9
2017,JAN,1,0.083333333,2017.083333,19570.00,9,18,17,2
2016,DEC,12,1,2017,19581.00,15,18,18,-9
2016,NOV,11,0.916666667,2016.916667,17517.00,21,18,33,18
2016,OCT,10,0.833333333,2016.833333,16298.00,27,19,38,36
2016,SEP,9,0.75,2016.75,23142.00,9,17,89.8,64.7
2016,AUG,8,0.666666667,2016.666667,25596.00,12,15,93,72
2016,JUL,7,0.583333333,2016.583333,24416.00,22,17,94.4,64.6
2016,JUN,6,0.5,2016.5,19966.00,29,17,81,60
2016,MAY,5,0.416666667,2016.416667,19029.00,31,18,84,50
2016,APR,4,0.333333333,2016.333333,16963.00,4,20,26,20
2016,MAR,3,0.25,2016.25,17341.00,3,19,29,1
2016,FEB,2,0.166666667,2016.166667,19562.00,15,18,18,7
2016,JAN,1,0.083333333,2016.083333,19451.00,19,19,21,5
2015,DEC,12,1,2016,18207.00,29,18,29,27
2015,NOV,11,0.916666667,2015.916667,17692.00,30,18,35,23
2015,OCT,10,0.833333333,2015.833333,16247.00,28,19,53,50
2015,SEP,9,0.75,2015.75,24368.00,8,16,91,65
2015,AUG,8,0.666666667,2015.666667,24216.00,18,15,84,68
2015,JUL,7,0.583333333,2015.583333,24437.00,20,17,89,66
2015,JUN,6,0.5,2015.5,20923.00,23,16,84,69
2015,MAY,5,0.416666667,2015.416667,19544.00,27,17,82,65
2015,APR,4,0.333333333,2015.333333,16455.00,9,20,36,33
2015,MAR,3,0.25,2015.25,18848.00,5,19,22,3
2015,FEB,2,0.166666667,2015.166667,20108.00,16,19,13,-10
2015,JAN,1,0.083333333,2015.083333,20583.00,8,18,19,-2
2014,DEC,12,1,2015,19843.00,8,18,24,15
2014,NOV,11,0.916666667,2014.916667,18369.00,19,18,31,6
2014,OCT,10,0.833333333,2014.833333,17053.00,15,19,72,64
2014,SEP,9,0.75,2014.75,23715.00,2,15,86,70
2014,AUG,8,0.666666667,2014.666667,22694.00,27,17,87,66
2014,JUL,7,0.583333333,2014.583333,24443.00,2,15,88,72
2014,JUN,6,0.5,2014.5,21263.00,30,17,85,61
2014,MAY,5,0.416666667,2014.416667,16222.00,27,14,70,55
2014,APR,4,0.333333333,2014.333333,16011.00,7,20,48,25
2014,MAR,3,0.25,2014.25,19696.00,3,19,19,-6
2014,FEB,2,0.166666667,2014.166667,19654.00,11,19,18,0
2014,JAN,1,0.083333333,2014.083333,21334.00,7,19,8,-12
2013,DEC,12,1,2014,21453.00,17,18,15,11
2013,NOV,11,0.916666667,2013.916667,19058.00,25,18,29,7
2013,OCT,10,0.833333333,2013.833333,17207.00,7,19,69,65
2013,SEP,9,0.75,2013.75,24451.00,11,17,93,70
2013,AUG,8,0.666666667,2013.666667,22416.00,21,17,86,61
2013,JUL,7,0.583333333,2013.583333,27379.00,19,17,95,72
2013,JUN,6,0.5,2013.5,25129.00,24,17,91,67
2013,MAY,5,0.416666667,2013.416667,22479.00,31,17,91,61
2013,APR,4,0.333333333,2013.333333,16781.00,2,20,35,9
2013,MAR,3,0.25,2013.25,18460.00,7,19,32,28
2013,FEB,2,0.166666667,2013.166667,19463.00,4,19,25,3
2013,JAN,1,0.083333333,2013.083333,20887.00,24,19,10,-11
2012,DEC,12,1,2013,19133.00,17,18,36,34
2012,NOV,11,0.916666667,2012.916667,18792.00,27,18,33,31
2012,OCT,10,0.833333333,2012.833333,16681.00,15,19,66,59
2012,SEP,9,0.75,2012.75,21439.00,7,16,82,66
2012,AUG,8,0.666666667,2012.666667,24751.00,3,16,90,64
2012,JUL,7,0.583333333,2012.583333,25880.00,17,17,93,65
2012,JUN,6,0.5,2012.5,25678.00,21,17,91,65
2012,MAY,5,0.416666667,2012.416667,19869.00,29,17,77,66
2012,APR,4,0.333333333,2012.333333,16412.00,16,15,83,50
2012,MAR,3,0.25,2012.25,18371.00,1,19,29,26
2012,FEB,2,0.166666667,2012.166667,18333.00,29,19,32,29
2012,JAN,1,0.083333333,2012.083333,19926.00,4,18,24,0
2011,DEC,12,1,2012,19357.00,19,18,42,26
2011,NOV,11,0.916666667,2011.916667,17819.00,23,18,36,32
2011,OCT,10,0.833333333,2011.833333,17270.00,27,19,37,34
2011,SEP,9,0.75,2011.75,20315.00,14,17,81,63
2011,AUG,8,0.666666667,2011.666667,23344.00,1,14,85,65
2011,JUL,7,0.583333333,2011.583333,27707.00,22,15,99,65
2011,JUN,6,0.5,2011.5,23322.00,9,16,89,68
2011,MAY,5,0.416666667,2011.416667,19847.00,31,17,79,54
2011,APR,4,0.333333333,2011.333333,16590.00,1,12,35,31
2011,MAR,3,0.25,2011.25,18790.00,3,19,25,-7
2011,FEB,2,0.166666667,2011.166667,19980.00,1,18,19,15
2011,JAN,1,0.083333333,2011.083333,21053.00,24,19,8,-15
2010,DEC,12,1,2011,20622.00,15,18,19,5
2010,NOV,11,0.916666667,2010.916667,18237.00,29,18,40,27
2010,OCT,10,0.833333333,2010.833333,18272.00,1,12,68,64
2010,SEP,9,0.75,2010.75,25902.00,2,16,93,64
2010,AUG,8,0.666666667,2010.666667,25691.00,31,17,93,65
2010,JUL,7,0.583333333,2010.583333,27102.00,6,15,95,67
2010,JUN,6,0.5,2010.5,24237.00,28,14,87,69
2010,MAY,5,0.416666667,2010.416667,22823.00,26,17,92,61
2010,APR,4,0.333333333,2010.333333,16356.00,7,21,78,46
2010,MAR,3,0.25,2010.25,18202.00,3,19,36,27
2010,FEB,2,0.166666667,2010.166667,19289.00,1,19,27,6
2010,JAN,1,0.083333333,2010.083333,19902.00,29,19,13,-8
2009,DEC,12,1,2010,20790.00,17,18,15,-3
2009,NOV,11,0.916666667,2009.916667,17935.00,30,18,43,39
2009,OCT,10,0.833333333,2009.833333,17326.00,15,19,38,29
2009,SEP,9,0.75,2009.75,18213.00,23,20,73,67
2009,AUG,8,0.666666667,2009.666667,25100.00,18,15,90,63
2009,JUL,7,0.583333333,2009.583333,22596.00,28,17,83,65
2009,JUN,6,0.5,2009.5,18530.00,26,14,75,66
2009,MAY,5,0.416666667,2009.416667,17733.00,22,15,84,49
2009,APR,4,0.333333333,2009.333333,18088.00,28,16,89,46
2009,MAR,3,0.25,2009.25,19620.00,2,19,21,12
2009,FEB,2,0.166666667,2009.166667,20343.00,5,19,15,-4
2009,JAN,1,0.083333333,2009.083333,20702.00,15,19,12,6
2008,DEC,12,1,2009,21026.00,8,18,18,-6
2008,NOV,11,0.916666667,2008.916667,19375.00,19,18,28,7
2008,OCT,10,0.833333333,2008.833333,17685.00,29,19,39,25
2008,SEP,9,0.75,2008.75,22204.00,5,15,84,64
2008,AUG,8,0.666666667,2008.666667,22192.00,1,16,81,63
2008,JUL,7,0.583333333,2008.583333,24723.00,8,17,87,67
2008,JUN,6,0.5,2008.5,26111.00,10,17,89,64
2008,MAY,5,0.416666667,2008.416667,17926.00,27,14,80,61
2008,APR,4,0.333333333,2008.333333,16992.00,4,11,39,37
2008,MAR,3,0.25,2008.25,18377.00,3,19,44,30
2008,FEB,2,0.166666667,2008.166667,20498.00,11,19,20,2
2008,JAN,1,0.083333333,2008.083333,21782.00,3,19,8,-8
2007,DEC,12,1,2008,21164.00,17,18,23,6
2007,NOV,11,0.916666667,2007.916667,19141.00,28,18,36,19
2007,OCT,10,0.833333333,2007.833333,19323.00,5,15,79,61
2007,SEP,9,0.75,2007.75,22570.00,7,16,90,64
2007,AUG,8,0.666666667,2007.666667,26145.00,3,15,92,67
2007,JUL,7,0.583333333,2007.583333,24332.00,27,15,87,65
2007,JUN,6,0.5,2007.5,26055.00,27,15,93,68
2007,MAY,5,0.416666667,2007.416667,20463.00,25,16,90,53
2007,APR,4,0.333333333,2007.333333,18071.00,4,20,36,34
2007,MAR,3,0.25,2007.25,21439.00,6,19,9,-18
2007,FEB,2,0.166666667,2007.166667,21640.00,5,19,13,-6
2007,JAN,1,0.083333333,2007.083333,21034.00,26,19,7,-12
2006,DEC,12,1,2007,20702.00,8,18,21,2
2006,NOV,11,0.916666667,2006.916667,18945.00,28,18,41,39
2006,OCT,10,0.833333333,2006.833333,18036.00,4,20,69,61
2006,SEP,9,0.75,2006.75,19168.00,19,20,70,65
2006,AUG,8,0.666666667,2006.666667,28130.00,2,15,94,74
2006,JUL,7,0.583333333,2006.583333,27329.00,18,15,92,68
2006,JUN,6,0.5,2006.5,24070.00,19,14,87,67
2006,MAY,5,0.416666667,2006.416667,19411.00,30,15,75,59
2006,APR,4,0.333333333,2006.333333,17146.00,5,21,37,26
2006,MAR,3,0.25,2006.25,19598.00,2,19,29,20
2006,FEB,2,0.166666667,2006.166667,20458.00,27,19,20,-6
2006,JAN,1,0.083333333,2006.083333,20559.00,16,18,25,8
2005,DEC,12,1,2006,21733.00,14,19,17,0
2005,NOV,11,0.916666667,2005.916667,19330.00,23,18,27,12
2005,OCT,10,0.833333333,2005.833333,18963.00,7,13,76,65
2005,SEP,9,0.75,2005.75,22425.00,14,17,85,64
2005,AUG,8,0.666666667,2005.666667,25983.00,5,15,92,68
2005,JUL,7,0.583333333,2005.583333,26885.00,27,15,91,72
2005,JUN,6,0.5,2005.5,25231.00,13,17,88,69
2005,MAY,5,0.416666667,2005.416667,16710.00,25,18,48,44
2005,APR,4,0.333333333,2005.333333,17024.00,4,21,43,31
2005,MAR,3,0.25,2005.25,20178.00,9,19,20,1
2005,FEB,2,0.166666667,2005.166667,19887.00,1,19,28,11
2005,JAN,1,0.083333333,2005.083333,22141.00,18,19,6,-11
2004,DEC,12,1,2005,22631.00,20,19,7,-5
2004,NOV,11,0.916666667,2004.916667,19044.00,9,18,33,11
2004,OCT,10,0.833333333,2004.833333,17763.00,19,19,47,42
2004,SEP,9,0.75,2004.75,20829.00,9,20,75,71
2004,AUG,8,0.666666667,2004.666667,24116.00,30,15,82,70
2004,JUL,7,0.583333333,2004.583333,23147.00,22,16,83,65
2004,JUN,6,0.5,2004.5,22940.00,9,17,90,67
2004,MAY,5,0.416666667,2004.416667,18281.00,12,16,80,55
2004,APR,4,0.333333333,2004.333333,18042.00,1,19,42,40
2004,MAR,3,0.25,2004.25,19246.00,16,19,27,23
2004,FEB,2,0.166666667,2004.166667,19977.00,3,19,31,28
2004,JAN,1,0.083333333,2004.083333,22818.00,15,19,-1,-20
2003,DEC,12,1,2004,20771.00,15,18,30,19
2003,NOV,11,0.916666667,2003.916667,18551.00,17,18,39,32
2003,OCT,10,0.833333333,2003.833333,18148.00,27,18,61,60
2003,SEP,9,0.75,2003.75,19339.00,15,20,72,67
2003,AUG,8,0.666666667,2003.666667,24685.00,22,15,90,71
2003,JUL,7,0.583333333,2003.583333,23981.00,8,17,86,68
2003,JUN,6,0.5,2003.5,24494.00,27,15,88,71
2003,MAY,5,0.416666667,2003.416667,16783.00,20,15,79,42
2003,APR,4,0.333333333,2003.333333,18126.00,1,19,33,29
2003,MAR,3,0.25,2003.25,20223.00,3,19,12,-11
2003,FEB,2,0.166666667,2003.166667,20410.00,13,19,13,-6
2003,JAN,1,0.083333333,2003.083333,21533.00,22,19,9,-12
2002,DEC,12,1,2003,20850.00,9,18,18,-5
2002,NOV,11,0.916666667,2002.916667,18763.00,27,18,28,18
2002,OCT,10,0.833333333,2002.833333,19373.00,2,20,76,66
2002,SEP,9,0.75,2002.75,22370.00,9,17,83,66
2002,AUG,8,0.666666667,2002.666667,25348.00,14,15,93,65
2002,JUL,7,0.583333333,2002.583333,24780.00,3,15,93,72
2002,JUN,6,0.5,2002.5,22953.00,27,16,88,67
2002,MAY,5,0.416666667,2002.416667,18287.00,31,15,78,65
2002,APR,4,0.333333333,2002.333333,18450.00,17,15,88,53
2002,MAR,3,0.25,2002.25,18327.00,5,19,29,3
2002,FEB,2,0.166666667,2002.166667,19260.00,11,19,21,3
2002,JAN,1,0.083333333,2002.083333,19241.00,2,18,32,16
2001,DEC,12,1,2002,19872.00,17,18,33,32
2001,NOV,11,0.916666667,2001.916667,18116.00,29,18,41,41
2001,OCT,10,0.833333333,2001.833333,17246.00,29,18,53,27
2001,SEP,9,0.75,2001.75,20594.00,10,15,83,67
2001,AUG,8,0.666666667,2001.666667,24967.00,9,15,95,67
2001,JUL,7,0.583333333,2001.583333,23952.00,25,15,91,64
2001,JUN,6,0.5,2001.5,22358.00,27,17,88,62
2001,MAY,5,0.416666667,2001.416667,18904.00,4,15,86,56
2001,APR,4,0.333333333,2001.333333,16854.00,2,20,38,27
2001,MAR,3,0.25,2001.25,18622.00,1,19,25,10
2001,FEB,2,0.166666667,2001.166667,19357.00,12,19,24,4
2001,JAN,1,0.083333333,2001.083333,19833.00,2,18,23,12
2000,DEC,12,1,2001,20088.00,8,18,19,14
2000,NOV,11,0.916666667,2000.916667,18642.00,30,18,38,32
2000,OCT,10,0.833333333,2000.833333,18021.00,30,18,41,34
2000,SEP,9,0.75,2000.75,21369.00,1,15,84,71
2000,AUG,8,0.666666667,2000.666667,21736.00,8,15,85,64
2000,JUL,7,0.583333333,2000.583333,20232.00,10,15,84,63
2000,JUN,6,0.5,2000.5,21919.00,27,13,84,71
2000,MAY,5,0.416666667,2000.416667,18928.00,9,14,78,64
2000,APR,4,0.333333333,2000.333333,16273.00,26,21,37,34
2000,MAR,3,0.25,2000.25,17376.00,21,19,39,35
2000,FEB,2,0.166666667,2000.166667,19622.00,2,19,19,3
2000,JAN,1,0.083333333,2000.083333,21176.00,17,18,7,-8
