,STATION,DATE,CLDD,HTDD,TAVG,TMAX,TMIN,dt,doy
0,USW00093738,1970-01-01,,,,31,15,1970-01-01,1
1,USW00093738,1970-01-02,,,,38,16,1970-01-02,2
2,USW00093738,1970-01-03,,,,35,19,1970-01-03,3
3,USW00093738,1970-01-04,,,,30,8,1970-01-04,4
4,USW00093738,1970-01-05,,,,40,5,1970-01-05,5
5,USW00093738,1970-01-06,,,,36,26,1970-01-06,6
6,USW00093738,1970-01-07,,,,32,11,1970-01-07,7
7,USW00093738,1970-01-08,,,,12,-4,1970-01-08,8
8,USW00093738,1970-01-09,,,,8,-8,1970-01-09,9
9,USW00093738,1970-01-10,,,,23,6,1970-01-10,10
10,USW00093738,1970-01-11,,,,25,0,1970-01-11,11
11,USW00093738,1970-01-12,,,,34,22,1970-01-12,12
12,USW00093738,1970-01-13,,,,35,17,1970-01-13,13
13,USW00093738,1970-01-14,,,,35,5,1970-01-14,14
14,USW00093738,1970-01-15,,,,31,7,1970-01-15,15
15,USW00093738,1970-01-16,,,,40,5,1970-01-16,16
16,USW00093738,1970-01-17,,,,53,19,1970-01-17,17
17,USW00093738,1970-01-18,,,,46,28,1970-01-18,18
18,USW00093738,1970-01-19,,,,28,11,1970-01-19,19
19,USW00093738,1970-01-20,,,,21,10,1970-01-20,20
20,USW00093738,1970-01-21,,,,17,4,1970-01-21,21
21,USW00093738,1970-01-22,,,,20,-3,1970-01-22,22
22,USW00093738,1970-01-23,,,,25,-4,1970-01-23,23
23,USW00093738,1970-01-24,,,,31,11,1970-01-24,24
24,USW00093738,1970-01-25,,,,45,25,1970-01-25,25
25,USW00093738,1970-01-26,,,,56,36,1970-01-26,26
26,USW00093738,1970-01-27,,,,46,28,1970-01-27,27
27,USW00093738,1970-01-28,,,,47,24,1970-01-28,28
28,USW00093738,1970-01-29,,,,59,43,1970-01-29,29
29,USW00093738,1970-01-30,,,,43,18,1970-01-30,30
30,USW00093738,1970-01-31,,,,45,16,1970-01-31,31
31,USW00093738,1970-02-01,,,,56,27,1970-02-01,32
32,USW00093738,1970-02-02,,,,63,41,1970-02-02,33
33,USW00093738,1970-02-03,,,,50,15,1970-02-03,34
34,USW00093738,1970-02-04,,,,23,7,1970-02-04,35
35,USW00093738,1970-02-05,,,,36,21,1970-02-05,36
36,USW00093738,1970-02-06,,,,43,30,1970-02-06,37
37,USW00093738,1970-02-07,,,,47,20,1970-02-07,38
38,USW00093738,1970-02-08,,,,44,25,1970-02-08,39
39,USW00093738,1970-02-09,,,,42,34,1970-02-09,40
40,USW00093738,1970-02-10,,,,41,34,1970-02-10,41
41,USW00093738,1970-02-11,,,,45,33,1970-02-11,42
42,USW00093738,1970-02-12,,,,38,22,1970-02-12,43
43,USW00093738,1970-02-13,,,,37,18,1970-02-13,44
44,USW00093738,1970-02-14,,,,25,19,1970-02-14,45
45,USW00093738,1970-02-15,,,,33,19,1970-02-15,46
46,USW00093738,1970-02-16,,,,36,26,1970-02-16,47
47,USW00093738,1970-02-17,,,,37,23,1970-02-17,48
48,USW00093738,1970-02-18,,,,51,16,1970-02-18,49
49,USW00093738,1970-02-19,,,,49,28,1970-02-19,50
50,USW00093738,1970-02-20,,,,35,19,1970-02-20,51
51,USW00093738,1970-02-21,,,,42,15,1970-02-21,52
52,USW00093738,1970-02-22,,,,62,16,1970-02-22,53
53,USW00093738,1970-02-23,,,,51,24,1970-02-23,54
54,USW00093738,1970-02-24,,,,58,16,1970-02-24,55
55,USW00093738,1970-02-25,,,,54,17,1970-02-25,56
56,USW00093738,1970-02-26,,,,29,7,1970-02-26,57
57,USW00093738,1970-02-27,,,,55,13,1970-02-27,58
58,USW00093738,1970-02-28,,,,45,18,1970-02-28,59
59,USW00093738,1970-03-01,,,,45,13,1970-03-01,60
60,USW00093738,1970-03-02,,,,63,32,1970-03-02,61
61,USW00093738,1970-03-03,,,,47,35,1970-03-03,62
62,USW00093738,1970-03-04,,,,39,35,1970-03-04,63
63,USW00093738,1970-03-05,,,,53,38,1970-03-05,64
64,USW00093738,1970-03-06,,,,47,26,1970-03-06,65
65,USW00093738,1970-03-07,,,,56,21,1970-03-07,66
66,USW00093738,1970-03-08,,,,55,29,1970-03-08,67
67,USW00093738,1970-03-09,,,,36,23,1970-03-09,68
68,USW00093738,1970-03-10,,,,48,29,1970-03-10,69
69,USW00093738,1970-03-11,,,,53,33,1970-03-11,70
70,USW00093738,1970-03-12,,,,41,33,1970-03-12,71
71,USW00093738,1970-03-13,,,,44,32,1970-03-13,72
72,USW00093738,1970-03-14,,,,41,18,1970-03-14,73
73,USW00093738,1970-03-15,,,,40,15,1970-03-15,74
74,USW00093738,1970-03-16,,,,38,17,1970-03-16,75
75,USW00093738,1970-03-17,,,,47,16,1970-03-17,76
76,USW00093738,1970-03-18,,,,38,32,1970-03-18,77
77,USW00093738,1970-03-19,,,,43,34,1970-03-19,78
78,USW00093738,1970-03-20,,,,43,33,1970-03-20,79
