"STATION","DATE","CLDD","HTDD","TAVG","TMAX","TMIN"
"USW00093738","1990-01-01",,,,"43","32"
"USW00093738","1990-01-02",,,,"46","23"
"USW00093738","1990-01-03",,,,"54","22"
"USW00093738","1990-01-04",,,,"54","25"
"USW00093738","1990-01-05",,,,"48","38"
"USW00093738","1990-01-06",,,,"49","26"
"USW00093738","1990-01-07",,,,"41","19"
"USW00093738","1990-01-08",,,,"34","29"
"USW00093738","1990-01-09",,,,"42","21"
"USW00093738","1990-01-10",,,,"48","37"
"USW00093738","1990-01-11",,,,"54","27"
"USW00093738","1990-01-12",,,,"45","29"
"USW00093738","1990-01-13",,,,"37","20"
"USW00093738","1990-01-14",,,,"47","18"
"USW00093738","1990-01-15",,,,"57","30"
"USW00093738","1990-01-16",,,,"64","28"
"USW00093738","1990-01-17",,,,"70","31"
"USW00093738","1990-01-18",,,,"70","47"
"USW00093738","1990-01-19",,,,"48","36"
"USW00093738","1990-01-20",,,,"48","36"
"USW00093738","1990-01-21",,,,"59","38"
"USW00093738","1990-01-22",,,,"53","28"
"USW00093738","1990-01-23",,,,"54","26"
"USW00093738","1990-01-24",,,,"62","45"
"USW00093738","1990-01-25",,,,"55","49"
"USW00093738","1990-01-26",,,,"52","27"
"USW00093738","1990-01-27",,,,"53","22"
"USW00093738","1990-01-28",,,,"59","35"
"USW00093738","1990-01-29",,,,"41","34"
"USW00093738","1990-01-30",,,,"48","37"
"USW00093738","1990-01-31",,,,"55","25"
"USW00093738","1990-02-01",,,,"62","26"
"USW00093738","1990-02-02",,,,"68","44"
"USW00093738","1990-02-03",,,,"55","42"
"USW00093738","1990-02-04",,,,"49","35"
"USW00093738","1990-02-05",,,,"49","28"
"USW00093738","1990-02-06",,,,"66","29"
"USW00093738","1990-02-07",,,,"55","38"
"USW00093738","1990-02-08",,,,"61","28"
"USW00093738","1990-02-09",,,,"64","39"
"USW00093738","1990-02-10",,,,"63","29"
"USW00093738","1990-02-11",,,,"47","23"
"USW00093738","1990-02-12",,,,"47","27"
"USW00093738","1990-02-13",,,,"64","25"
"USW00093738","1990-02-14",,,,"71","43"
"USW00093738","1990-02-15",,,,"50","36"
"USW00093738","1990-02-16",,,,"66","45"
"USW00093738","1990-02-17",,,,"60","23"
"USW00093738","1990-02-18",,,,"46","18"
"USW00093738","1990-02-19",,,,"62","41"
"USW00093738","1990-02-20",,,,"43","21"
"USW00093738","1990-02-21",,,,"53","17"
"USW00093738","1990-02-22",,,,"59","36"
"USW00093738","1990-02-23",,,,"65","44"
"USW00093738","1990-02-24",,,,"47","30"
"USW00093738","1990-02-25",,,,"30","16"
"USW00093738","1990-02-26",,,,"32","11"
"USW00093738","1990-02-27",,,,"41","15"
"USW00093738","1990-02-28",,,,"50","24"
"USW00093738","1990-03-01",,,,"49","23"
"USW00093738","1990-03-02",,,,"50","30"
"USW00093738","1990-03-03",,,,"57","37"
"USW00093738","1990-03-04",,,,"45","25"
"USW00093738","1990-03-05",,,,"57","20"
"USW00093738","1990-03-06",,,,"46","28"
"USW00093738","1990-03-07",,,,"40","17"
"USW00093738","1990-03-08",,,,"50","13"
"USW00093738","1990-03-09",,,,"66","39"
"USW00093738","1990-03-10",,,,"72","42"
"USW00093738","1990-03-11",,,,"77","48"
"USW00093738","1990-03-12",,,,"89","53"
"USW00093738","1990-03-13",,,,"87","53"
"USW00093738","1990-03-14",,,,"88","49"
"USW00093738","1990-03-15",,,,"82","61"
"USW00093738","1990-03-16",,,,"81","64"
"USW00093738","1990-03-17",,,,"71","52"
"USW00093738","1990-03-18",,,,"63","43"
"USW00093738","1990-03-19",,,,"64","34"
"USW00093738","1990-03-20",,,,"41","32"
"USW00093738","1990-03-21",,,,"56","32"
"USW00093738","1990-03-22",,,,"70","28"
"USW00093738","1990-03-23",,,,"68","42"
"USW00093738","1990-03-24",,,,"43","31"
"USW00093738","1990-03-25",,,,"47","33"
"USW00093738","1990-03-26",,,,"53","26"
"USW00093738","1990-03-27",,,,"47","26"
"USW00093738","1990-03-28",,,,"54","20"
"USW00093738","1990-03-29",,,,"48","41"
"USW00093738","1990-03-30",,,,"46","41"
"USW00093738","1990-03-31",,,,"51","41"
"USW00093738","1990-04-01",,,,"55","47"
"USW00093738","1990-04-02",,,,"68","49"
"USW00093738","1990-04-03",,,,"53","39"
"USW00093738","1990-04-04",,,,"51","35"
"USW00093738","1990-04-05",,,,"64","42"
"USW00093738","1990-04-06",,,,"51","33"
"USW00093738","1990-04-07",,,,"46","28"
"USW00093738","1990-04-08",,,,"55","25"
"USW00093738","1990-04-09",,,,"66","27"
"USW00093738","1990-04-10",,,,"67","52"
"USW00093738","1990-04-11",,,,"64","37"
"USW00093738","1990-04-12",,,,"50","30"
"USW00093738","1990-04-13",,,,"56","24"
"USW00093738","1990-04-14",,,,"68","33"
"USW00093738","1990-04-15",,,,"70","50"
"USW00093738","1990-04-16",,,,"70","38"
"USW00093738","1990-04-17",,,,"71","40"
"USW00093738","1990-04-18",,,,"55","31"
"USW00093738","1990-04-19",,,,"64","27"
"USW00093738","1990-04-20",,,,"65","47"
"USW00093738","1990-04-21",,,,"65","51"
"USW00093738","1990-04-22",,,,"72","45"
"USW00093738","1990-04-23",,,,"82","39"
"USW00093738","1990-04-24",,,,"85","46"
"USW00093738","1990-04-25",,,,"84","49"
"USW00093738","1990-04-26",,,,"92","58"
"USW00093738","1990-04-27",,,,"92","57"
"USW00093738","1990-04-28",,,,"88","58"
"USW00093738","1990-04-29",,,,"71","55"
"USW00093738","1990-04-30",,,,"67","56"
"USW00093738","1990-05-01",,,,"78","56"
"USW00093738","1990-05-02",,,,"68","51"
"USW00093738","1990-05-03",,,,"67","54"
"USW00093738","1990-05-04",,,,"60","53"
"USW00093738","1990-05-05",,,,"75","52"
"USW00093738","1990-05-06",,,,"67","48"
"USW00093738","1990-05-07",,,,"74","43"
"USW00093738","1990-05-08",,,,"80","46"
"USW00093738","1990-05-09",,,,"82","51"
"USW00093738","1990-05-10",,,,"72","52"
"USW00093738","1990-05-11",,,,"69","44"
"USW00093738","1990-05-12",,,,"62","38"
"USW00093738","1990-05-13",,,,"76","54"
"USW00093738","1990-05-14",,,,"75","54"
"USW00093738","1990-05-15",,,,"77","54"
"USW00093738","1990-05-16",,,,"84","63"
"USW00093738","1990-05-17",,,,"83","56"
"USW00093738","1990-05-18",,,,"76","50"
"USW00093738","1990-05-19",,,,"80","46"
"USW00093738","1990-05-20",,,,"81","62"
"USW00093738","1990-05-21",,,,"75","55"
"USW00093738","1990-05-22",,,,"58","46"
"USW00093738","1990-05-23",,,,"70","39"
"USW00093738","1990-05-24",,,,"75","47"
"USW00093738","1990-05-25",,,,"78","47"
"USW00093738","1990-05-26",,,,"71","57"
"USW00093738","1990-05-27",,,,"66","55"
"USW00093738","1990-05-28",,,,"65","53"
"USW00093738","1990-05-29",,,,"60","50"
"USW00093738","1990-05-30",,,,"71","50"
"USW00093738","1990-05-31",,,,"74","42"
"USW00093738","1990-06-01",,,,"83","46"
"USW00093738","1990-06-02",,,,"84","64"
"USW00093738","1990-06-03",,,,"84","66"
"USW00093738","1990-06-04",,,,"76","53"
"USW00093738","1990-06-05",,,,"71","45"
"USW00093738","1990-06-06",,,,"84","51"
"USW00093738","1990-06-07",,,,"81","63"
"USW00093738","1990-06-08",,,,"89","60"
"USW00093738","1990-06-09",,,,"91","70"
"USW00093738","1990-06-10",,,,"82","62"
"USW00093738","1990-06-11",,,,"76","59"
"USW00093738","1990-06-12",,,,"79","48"
"USW00093738","1990-06-13",,,,"82","48"
"USW00093738","1990-06-14",,,,"90","56"
"USW00093738","1990-06-15",,,,"76","60"
"USW00093738","1990-06-16",,,,"87","55"
"USW00093738","1990-06-17",,,,"89","60"
"USW00093738","1990-06-18",,,,"92","64"
"USW00093738","1990-06-19",,,,"85","64"
"USW00093738","1990-06-20",,,,"82","54"
"USW00093738","1990-06-21",,,,"90","68"
"USW00093738","1990-06-22",,,,"88","58"
"USW00093738","1990-06-23",,,,"84","63"
"USW00093738","1990-06-24",,,,"80","60"
"USW00093738","1990-06-25",,,,"82","54"
"USW00093738","1990-06-26",,,,"88","58"
"USW00093738","1990-06-27",,,,"91","66"
"USW00093738","1990-06-28",,,,"93","62"
"USW00093738","1990-06-29",,,,"94","66"
"USW00093738","1990-06-30",,,,"93","69"
"USW00093738","1990-07-01",,,,"88","66"
"USW00093738","1990-07-02",,,,"84","59"
"USW00093738","1990-07-03",,,,"89","56"
"USW00093738","1990-07-04",,,,"96","64"
"USW00093738","1990-07-05",,,,"99","70"
"USW00093738","1990-07-06",,,,"90","72"
"USW00093738","1990-07-07",,,,"79","67"
"USW00093738","1990-07-08",,,,"83","63"
"USW00093738","1990-07-09",,,,"98","74"
"USW00093738","1990-07-10",,,,"94","72"
"USW00093738","1990-07-11",,,,"88","67"
"USW00093738","1990-07-12",,,,"89","63"
"USW00093738","1990-07-13",,,,"66","61"
"USW00093738","1990-07-14",,,,"83","66"
"USW00093738","1990-07-15",,,,"85","69"
"USW00093738","1990-07-16",,,,"86","64"
"USW00093738","1990-07-17",,,,"89","65"
"USW00093738","1990-07-18",,,,"93","64"
"USW00093738","1990-07-19",,,,"92","69"
"USW00093738","1990-07-20",,,,"93","68"
"USW00093738","1990-07-21",,,,"90","66"
"USW00093738","1990-07-22",,,,"89","69"
"USW00093738","1990-07-23",,,,"89","69"
"USW00093738","1990-07-24",,,,"84","63"
"USW00093738","1990-07-25",,,,"88","61"
"USW00093738","1990-07-26",,,,"88","63"
"USW00093738","1990-07-27",,,,"86","65"
"USW00093738","1990-07-28",,,,"85","66"
"USW00093738","1990-07-29",,,,"85","67"
"USW00093738","1990-07-30",,,,"87","68"
"USW00093738","1990-07-31",,,,"87","66"
"USW00093738","1990-08-01",,,,"83","59"
"USW00093738","1990-08-02",,,,"84","57"
"USW00093738","1990-08-03",,,,"88","57"
"USW00093738","1990-08-04",,,,"89","60"
"USW00093738","1990-08-05",,,,"83","71"
"USW00093738","1990-08-06",,,,"75","70"
"USW00093738","1990-08-07",,,,"82","62"
"USW00093738","1990-08-08",,,,"86","58"
"USW00093738","1990-08-09",,,,"67","63"
"USW00093738","1990-08-10",,,,"78","66"
"USW00093738","1990-08-11",,,,"86","67"
"USW00093738","1990-08-12",,,,"88","63"
"USW00093738","1990-08-13",,,,"91","68"
"USW00093738","1990-08-14",,,,"85","67"
"USW00093738","1990-08-15",,,,"87","63"
"USW00093738","1990-08-16",,,,"87","64"
"USW00093738","1990-08-17",,,,"89","63"
"USW00093738","1990-08-18",,,,"89","63"
"USW00093738","1990-08-19",,,,"90","72"
"USW00093738","1990-08-20",,,,"72","61"
"USW00093738","1990-08-21",,,,"71","61"
"USW00093738","1990-08-22",,,,"69","64"
"USW00093738","1990-08-23",,,,"71","66"
"USW00093738","1990-08-24",,,,"82","69"
"USW00093738","1990-08-25",,,,"87","68"
"USW00093738","1990-08-26",,,,"88","67"
"USW00093738","1990-08-27",,,,"90","66"
"USW00093738","1990-08-28",,,,"94","68"
"USW00093738","1990-08-29",,,,"88","67"
"USW00093738","1990-08-30",,,,"82","60"
"USW00093738","1990-08-31",,,,"85","57"
"USW00093738","1990-09-01",,,,"84","57"
"USW00093738","1990-09-02",,,,"89","64"
"USW00093738","1990-09-03",,,,"82","61"
"USW00093738","1990-09-04",,,,"81","57"
"USW00093738","1990-09-05",,,,"84","56"
"USW00093738","1990-09-06",,,,"88","64"
"USW00093738","1990-09-07",,,,"92","69"
"USW00093738","1990-09-08",,,,"77","64"
"USW00093738","1990-09-09",,,,"73","64"
"USW00093738","1990-09-10",,,,"85","61"
"USW00093738","1990-09-11",,,,"88","58"
"USW00093738","1990-09-12",,,,"85","63"
"USW00093738","1990-09-13",,,,"74","65"
"USW00093738","1990-09-14",,,,"78","65"
